Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 61761.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 7.27 sec. (3095.31 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

    197   127        cutoff            256.1643      257.9834    29135    0.71%x_ENSP0000026152 U    197    195     17
    200   126      256.7785   132      256.1643      257.9763    29524    0.71%x_ENSP0000036998 U    200     62      5
    203   129      256.6963    66      256.1643      257.9763    29677    0.71%x_ENSP0000034107 U    203    202      8
    204   129      256.6524    65      256.1643      257.9763    29738    0.71%mm_ENSMUSP000000 D    204    203      9
    205   129      256.6523    84      256.1643      257.9763    29744    0.71%x_ENSP0000034342 D    205    204     10
Elapsed time = 1815.48 sec. (863487.73 ticks, tree = 4.95 MB, solutions = 4)
    207   131      256.6281    65      256.1643      257.9763    29773    0.71%x_ENSP0000038678 D    207    206     12
    211   134      256.4503    30      256.1643      257.9763    29920    0.71%x_ENSMUSP0000006 U    211    210     16
    212   134      256.4483    15      256.1643      257.9763    29923    0.71%x_ENSP0000022583 D    212    211     17
    216   137      256.4266    25      256.1643      257.9763    29977    0.71%x_ENSMUSP0000004 U    216    215     21
    219   138        cutoff            256.1643      257.9763    30106    0.71%z_ENSMUSP0000011 N    219    218     24
    221   138      256.5648    65      256.1643      257.9368    30526    0.69%x_ENSP0000034442 U    221     63      6
    226   143      256.4324     7      256.1643      257.9368    30604    0.69%x_ENSP0000034846 D    226    225     11
    231   148      256.2789     7      256.1643      257.9368    30700    0.69%x_ENSP0000026470 U    231    230     16
    235   151      256.1715     1      256.1643      257.9368    30814    0.69%x_ENSP0000021796 U    235    234     20
    239   151      256.9432     7      256.1643      257.9358    30950    0.69%x_ENSP0000041068 U    239      6      7
Elapsed time = 1996.65 sec. (935329.97 ticks, tree = 5.55 MB, solutions = 4)
    243   155      256.7000    55      256.1643      257.9358    31080    0.69%x_ENSP0000039653 N    243    242     11
    248   160      256.5858    35      256.1643      257.9358    31128    0.69%x_ENSP0000029612 D    248    247     16
    253   165      256.5333    28      256.1643      257.9358    31156    0.69%x_ENSP0000034435 D    253    252     21
    255   167      256.5300    25      256.1643      257.9358    31159    0.69%x_ENSP0000023044 D    255    254     23
    260   172      256.4268    31      256.1643      257.9358    31213    0.69%x_ENSP0000035907 D    260    259     28
    262   173      256.4236     7      256.1643      257.9358    31219    0.69%mm_ENSMUSP000000 D    262    261     30
    264   174      256.4127     6      256.1643      257.9358    31244    0.69%x_ENSP0000032881 D    264    263     32
    265   173        cutoff            256.1643      257.9358    31537    0.69%x_ENSP0000021590 N    265    264     33
    268   176      257.1227    10      256.1643      257.9200    31713    0.69%x_ENSP0000036998 D    268    267     11
    273   181      257.0935    25      256.1643      257.9200    31796    0.69%x_ENSP0000016422 D    273    272     16
Elapsed time = 2179.78 sec. (1036449.34 ticks, tree = 12.25 MB, solutions = 4)
    274   182      257.0862    54      256.1643      257.9200    31833    0.69%mm_ENSMUSP000000 D    274    273     17
